run_id,timestamp_utc,study,arm,selector,inferencer,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,pc_skeleton_f1_ceiling,pc_truth_in_class,pc_undirected_edges,pc_directed_edges,mec_size_initial,mec_entropy_initial,belief_undirected_final,selection_regret_total,selection_regret_mean,eig_regret_total,selection_quality_mean,wasted_steps,orientations_correct,orientations_wrong,orientation_accuracy,select_wasted_targets,select_repeat_targets,infer_rule,infer_repairs,infer_dropped_malformed,infer_dropped_self_loop,infer_dropped_out_of_range,infer_dropped_cycle,infer_dropped_overlap,infer_dropped_duplicate,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
20260816T142815Z,2026-08-16T14:28:15.404783+00:00,study1,llm+llm,llm,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,9.091,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1.0,1,1,6,0,1,1.0,1,3,3,4,1.38629,0,0.0,0.0,0.0,1.0,0,3,0,1.0,0,0,llm,0,0,0,0,0,0,0,2,0,0,12125,143,0,12268,0.00190455,3.2796
20260816T142815Z,2026-08-16T14:28:15.401387+00:00,study1,eig+llm,eig,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,10.229,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,1.0,1,1,6,0,1,1.0,1,3,3,4,1.38629,0,1.0,1.0,0.0,0.66667,0,2,1,0.66667,,,llm,0,0,0,0,0,0,0,1,0,0,11624,97,0,11721,0.0018018,4.3996
20260816T142815Z,2026-08-16T14:28:15.398644+00:00,study1,oracle+llm,oracle,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,10.548,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1.0,1,1,6,0,1,1.0,1,3,3,4,1.38629,0,0.0,0.0,0.0,1.0,0,3,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,11675,103,0,11778,0.00181305,4.7177
20260816T142815Z,2026-08-16T14:28:25.656633+00:00,study1,oracle+llm,oracle,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,295485567,2954855670108,6,6,300,150,2,1,6,4,success,,2.517,0.35714285714285715,0.8333333333333334,0.5,0.0,0.14285714285714285,0.3333333333333333,0.2,13,1.0,1,1,14,0,1,1.0,1,4,2,5,1.60944,0,0.0,0.0,0.0,1.0,0,4,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,11550,134,0,11684,0.0018129,2.5005
20260816T142815Z,2026-08-16T14:28:28.202819+00:00,study1,eig+llm,eig,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,295485567,2954855670108,6,6,300,150,2,1,6,4,success,,2.25,0.35714285714285715,0.8333333333333334,0.5,0.0,0.14285714285714285,0.3333333333333333,0.2,13,1.0,1,1,14,0,1,1.0,1,4,2,5,1.60944,0,0.0,0.0,0.0,1.0,0,4,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,11550,134,11520,11684,0.0009489,2.2334
20260816T142815Z,2026-08-16T14:28:25.971988+00:00,study1,eig+llm,eig,llm,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,295485567,2954855670108,6,6,300,150,2,1,6,4,success,,9.051,0.6,1.0,0.7499999999999999,1.0,0.375,0.5,0.42857142857142855,7,1.0,1,1,8,2,1,1.0,1,4,2,5,1.60944,0,0.0,0.0,0.0,1.0,0,4,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,17024,180,16960,17204,0.0018612,9.0345
20260816T142815Z,2026-08-16T14:28:15.400021+00:00,study1,eig+llm,eig,llm,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,21.707,0.75,1.0,0.8571428571428571,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,1.0,1,1,6,2,1,1.0,1,3,3,4,1.38629,0,1.0,1.0,0.0,0.66667,0,2,1,0.66667,,,llm,0,0,0,0,0,0,0,1,0,0,16861,285,704,17146,0.00781851,15.8793
20260816T142815Z,2026-08-16T14:28:15.402774+00:00,study1,llm+llm,llm,llm,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,21.995,0.75,1.0,0.8571428571428571,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,1.0,1,1,6,2,1,1.0,1,3,3,4,1.38629,0,1.0,1.0,0.0,0.66667,0,2,1,0.66667,0,0,llm,0,0,0,0,0,0,0,2,0,0,17562,363,17408,17925,0.00225312,16.1814
20260816T142815Z,2026-08-16T14:28:35.049845+00:00,study1,llm+llm,llm,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,295485567,2954855670108,6,6,300,150,2,1,6,4,success,,3.01,0.35714285714285715,0.8333333333333334,0.5,0.0,0.14285714285714285,0.3333333333333333,0.2,13,1.0,1,1,14,0,1,1.0,1,4,2,5,1.60944,0,0.0,0.0,0.0,1.0,0,4,0,1.0,0,0,llm,0,0,0,0,0,0,0,2,0,0,12006,197,11520,12203,0.0010551,2.9907
20260816T142815Z,2026-08-16T14:28:37.433515+00:00,study1,oracle+llm,oracle,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,325160078,3251600780108,6,6,300,150,2,1,6,4,success,,2.031,0.8,0.6666666666666666,0.7272727272727272,1.0,0.4,0.3333333333333333,0.3636363636363636,5,1.0,1,1,5,0,1,1.0,1,4,2,5,1.60944,0,0.0,0.0,0.0,1.0,0,4,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,11691,113,0,11804,0.00182145,2.0161
20260816T142815Z,2026-08-16T14:28:39.498184+00:00,study1,eig+llm,eig,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,325160078,3251600780108,6,6,300,150,2,1,6,4,success,,2.161,0.8,0.6666666666666666,0.7272727272727272,1.0,0.4,0.3333333333333333,0.3636363636363636,5,1.0,1,1,5,0,1,1.0,1,4,2,5,1.60944,0,0.0,0.0,0.0,1.0,0,4,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,11691,111,11648,11802,0.00094665,2.1467
20260816T142815Z,2026-08-16T14:28:15.397377+00:00,study1,oracle+llm,oracle,llm,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,30.527,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,1.0,1,1,6,0,1,1.0,1,3,3,4,1.38629,0,0.0,0.0,0.0,1.0,0,3,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,16861,525,640,17386,0.00824955,24.703
20260816T142815Z,2026-08-16T14:28:37.142535+00:00,study1,oracle+llm,oracle,llm,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,325160078,3251600780108,6,6,300,150,2,1,6,4,success,,10.923,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,2,1.0,1,1,4,2,1,1.0,1,4,2,5,1.60944,0,0.0,0.0,0.0,1.0,0,4,0,1.0,,,llm,0,0,0,0,0,2,0,1,0,0,16838,203,704,17041,0.00766876,10.9059
20260816T142815Z,2026-08-16T14:28:45.952455+00:00,study1,llm+llm,llm,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,325160078,3251600780108,6,6,300,150,2,1,6,4,success,,4.468,0.8571428571428571,1.0,0.923076923076923,1.0,0.42857142857142855,0.5,0.4615384615384615,4,1.0,1,1,7,0,1,1.0,1,4,2,5,1.60944,0,0.0,0.0,0.0,1.0,0,4,0,1.0,0,0,llm,0,0,0,0,0,0,0,2,0,0,12146,150,11648,12296,0.0010383,4.4523
20260816T142815Z,2026-08-16T14:28:24.523434+00:00,study1,oracle+llm,oracle,llm,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,295485567,2954855670108,6,6,300,150,2,1,6,4,success,,26.836,0.75,1.0,0.8571428571428571,1.0,0.42857142857142855,0.5,0.4615384615384615,5,1.0,1,1,7,1,1,1.0,1,4,2,5,1.60944,0,0.0,0.0,0.0,1.0,0,4,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,17024,564,640,17588,0.0083892,26.8177
20260816T142815Z,2026-08-16T14:28:50.446431+00:00,study1,oracle+llm,oracle,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,1719885688,17198856880108,6,6,300,150,3,2,6,2,success,,2.9,0.6666666666666666,1.0,0.8,1.0,0.5555555555555556,0.8333333333333334,0.6666666666666667,4,1.0,2,2,9,0,2,1.0,1,2,4,4,1.38629,0,0.0,0.0,0.0,1.0,0,2,0,1.0,,,llm,0,0,0,0,0,0,1,1,0,0,15362,89,0,15451,0.0023577,2.8873
20260816T142815Z,2026-08-16T14:28:53.375142+00:00,study1,eig+llm,eig,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,1719885688,17198856880108,6,6,300,150,3,2,6,2,success,,1.972,0.6666666666666666,1.0,0.8,1.0,0.5555555555555556,0.8333333333333334,0.6666666666666667,4,1.0,2,2,9,0,2,1.0,1,2,4,4,1.38629,0,0.0,0.0,0.0,1.0,0,2,0,1.0,,,llm,0,0,0,0,3,0,1,1,0,0,15362,108,15232,15470,0.0012267,1.9591
20260816T142815Z,2026-08-16T14:28:41.683951+00:00,study1,llm+llm,llm,llm,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,325160078,3251600780108,6,6,300,150,2,1,6,4,success,,14.899,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,2,1.0,1,1,4,2,1,1.0,1,4,2,5,1.60944,0,0.0,0.0,0.0,1.0,0,4,0,1.0,0,0,llm,0,0,0,0,0,2,0,2,0,0,17547,261,17408,17808,0.00207297,14.8828
