run_id,timestamp_utc,study,arm,selector,readout,prompt,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,status,error,wall_sec,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,interventions_used,submit_directed,submit_undirected,steps_taken,pc_skeleton_f1_ceiling,pc_truth_in_class,belief_undirected_final,decisions,decisions_correct,decisions_wrong,decisions_abstain,orientations_correct,orientations_wrong,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_latency_sec
20260819T074532Z,2026-08-19T07:45:32.963967+00:00,study1_local,local_llm_rule,oracle,llm,rule,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,123393401,1233934010007,4,4,300,150,2,1,4,success,,5.18,0.8571428571428571,1.0,1.0,0.75,0.8571428571428571,1,0,3,0,0,0.857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
20260819T074532Z,2026-08-19T07:45:38.165413+00:00,study1_local,local_llm_rule,oracle,llm,rule,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,1943031107,19430311070007,4,4,300,150,3,2,4,success,,1.085,0.8571428571428571,1.0,0.6666666666666666,0.5,0.5714285714285715,2,1,3,0,1,0.857143,0,0,1,1,0,0,2,1,1,0,0,402,46,448,8.79e-05,1.0789
20260819T074532Z,2026-08-19T07:45:32.964761+00:00,study1_local,local_llm_rule,oracle,llm,rule,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,239607114,2396071140007,4,4,300,150,2,1,4,success,,6.485,0.8571428571428571,1.0,0.3333333333333333,0.25,0.28571428571428575,3,1,3,0,1,0.857143,0,0,1,1,0,0,1,0,1,0,0,404,38,442,8.34e-05,1.3031
20260819T074532Z,2026-08-19T07:45:32.964432+00:00,study1_local,local_llm_rule,oracle,llm,rule,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,325160078,3251600780007,4,4,300,150,3,2,4,success,,6.802,0.8571428571428571,1.0,0.6666666666666666,0.5,0.5714285714285715,2,1,3,0,1,0.857143,0,0,1,1,0,0,1,0,1,0,0,404,38,442,8.34e-05,1.6223
20260819T074532Z,2026-08-19T07:45:39.473343+00:00,study1_local,local_llm_rule,oracle,llm,rule,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,1078156455,10781564550007,4,4,300,150,2,1,4,success,,1.0,0.8571428571428571,1.0,0.6666666666666666,0.5,0.5714285714285715,2,1,3,0,1,0.857143,0,0,1,1,0,0,2,1,1,0,0,403,47,450,8.865e-05,0.9941
20260819T074532Z,2026-08-19T07:45:32.964598+00:00,study1_local,local_llm_rule,oracle,llm,rule,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,1719885688,17198856880007,4,4,300,150,3,2,4,success,,9.819,1.0,1.0,0.25,0.25,0.25,3,2,4,0,2,1.0,1,0,4,1,3,0,1,3,4,0,0,1615,167,1782,0.00034245,4.6357
20260819T074532Z,2026-08-19T07:45:39.276142+00:00,study1_local,local_llm_rule,oracle,llm,rule,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,1580201974,15802019740007,4,4,300,150,2,1,4,success,,3.839,0.8571428571428571,1.0,0.0,0.0,0.0,4,2,3,0,2,0.857143,0,0,3,0,3,0,0,3,3,0,0,1212,121,1333,0.0002544,3.8322
20260819T074532Z,2026-08-19T07:45:39.788698+00:00,study1_local,local_llm_rule,oracle,llm,rule,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,1158667886,11586678860007,4,4,300,150,2,1,4,success,,3.774,0.8571428571428571,1.0,0.6666666666666666,0.5,0.5714285714285715,2,2,3,0,2,0.857143,0,0,3,2,1,0,2,1,3,0,0,1210,123,1333,0.0002553,3.7669
20260819T074532Z,2026-08-19T07:45:32.965016+00:00,study1_local,local_llm_rule,oracle,llm,rule,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,1279549348,12795493480007,4,4,300,150,2,1,4,success,,10.901,1.0,1.0,0.5,0.5,0.5,2,2,4,0,2,1.0,1,0,4,2,2,0,2,2,4,0,0,1615,171,1786,0.00034485,5.7164
20260819T074532Z,2026-08-19T07:45:40.496730+00:00,study1_local,local_llm_rule,oracle,llm,rule,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,1470120545,14701205450108,6,6,300,150,3,2,6,success,,3.539,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6,0,2,1.0,1,0,3,1,2,0,1,2,3,0,0,1212,142,1354,0.000267,3.5276
