run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260820T060906Z,pc_greedy_meek,none,1,123393401,1,1,3.6193,,,,,,0.83333,,3,0,
20260820T060906Z,probe_skel_only,none,1,123393401,1,1,3.6193,48,1.38704,0.69315,0.69389,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09823, ""eig_by_target"": {""0"": 0.47153, ""1"": 1.09823, ""3"": 1.09823, ""4"": 0.47147}}"
20260820T060906Z,probe_skel_only,none,1,123393401,2,0,3.3214,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T060906Z,probe_random_edits,none,1,123393401,1,3,2.6821,48,1.87706,0.49745,1.37961,0.86181,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.162, ""eig_by_target"": {""0"": 0.64416, ""1"": 1.09652, ""3"": 1.162, ""4"": 0.44733}}"
20260820T060906Z,probe_random_edits,none,1,123393401,2,1,3.6193,48,0.49745,0.73346,-0.23602,0.72183,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.14364, ""eig_by_target"": {""0"": 0.08885, ""1"": 0.14364}}"
20260820T060906Z,probe_oracle_edits,none,1,123393401,1,1,3.6193,48,1.38704,0.69315,0.69389,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09823, ""eig_by_target"": {""0"": 0.47153, ""1"": 1.09823, ""3"": 1.09823, ""4"": 0.47147}}"
20260820T060906Z,probe_oracle_edits,none,1,123393401,2,0,3.3214,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T060906Z,probe,gpt-5.4-mini,1,123393401,1,3,2.6821,48,2.22664,0.86059,1.36604,0.74696,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09036, ""eig_by_target"": {""0"": 0.77085, ""1"": 1.06453, ""3"": 1.09036, ""4"": 0.35048, ""5"": 0.29305}}"
20260820T060906Z,probe,gpt-5.4-mini,1,123393401,2,5,3.0751,48,0.86059,0.84398,0.01661,0.76474,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.28753, ""eig_by_target"": {""0"": 0.04769, ""4"": 0.04565, ""5"": 0.28753}}"
20260820T060906Z,probe,gpt-4o-mini-2024-07-18,1,123393401,1,3,2.6821,48,1.87706,0.49745,1.37961,0.86181,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.3164, ""eig_by_target"": {""0"": 0.58714, ""1"": 1.12939, ""3"": 1.3164, ""4"": 0.48594}}"
